meter_id,X2018_7_1_1h,X2018_7_1_2h,X2018_7_1_3h,X2018_7_1_4h,X2018_7_1_5h,X2018_7_1_6h,X2018_7_1_7h,X2018_7_1_8h,X2018_7_1_9h,X2018_7_1_10h,X2018_7_1_11h,X2018_7_1_12h,X2018_7_1_13h,X2018_7_1_14h,X2018_7_1_15h,X2018_7_1_16h,X2018_7_1_17h,X2018_7_1_18h,X2018_7_1_19h,X2018_7_1_20h,X2018_7_1_21h,X2018_7_1_22h,X2018_7_1_23h,X2018_7_1_24h
X35,0.005923437,0.005931213,0.005909412,0.005929345,0.005931854,0.005923486,0.005911507,0.005911507,0.005912106,0.005913745,0.005912531,0.005911367,0.005912004,0.005912004,0.005912731,0.005910291,0.00587387,0.005910928,0.00592787,0.005929673,0.005929673,0.005929673,0.005929673,0.005929673
X37,8.047146797,5.605750084,4.342252254,5.13726759,2.865387917,2.650165558,2.650165558,2.66773653,2.558094263,2.895938635,2.895938635,2.895938635,2.682012081,2.719272614,2.900052071,2.900052071,5.86398077,7.668178558,9.222048759,8.943659782,9.028169632,8.839928627,7.419385433,6.585693836
X41,2.366255283,2.289352655,2.266778231,2.232344627,2.164883852,2.037994862,1.451643467,1.144107461,1.155983448,2.515177965,1.43214345,1.43214345,1.628295422,2.095114231,2.463151932,2.468861818,3.162834644,2.50475359,2.532474279,2.514047384,2.519047976,2.50475359,2.50475359,2.499043703
X42,1.222077489,0.644334257,0.626750112,0.626750112,0.595041394,0.40451929,0.64496088,0.361891866,0.37023446,0.364828557,0.363431692,0.364828557,0.674106658,3.917855501,3.917855501,3.300067186,3.708613634,1.543063164,0.749920785,3.704107285,2.032731771,1.445600986,1.759575844,1.759575844
X43,0.306884915,0.288985819,0.30736658,0.292837143,0.303784996,0.292837143,0.286790401,0.31077829,0.366903663,0.323854804,0.307425141,0.302354127,0.251712561,0.271490842,0.301765412,0.301765412,0.301765412,0.301765412,0.301765412,0.238861144,0.332291394,0.245997161,0.247669518,0.23472558
X44,-0.03727261,-0.029379422,-0.041163698,-0.03661862,-0.041163698,-0.040807769,0.039363671,0.050613161,0.298882008,0.687057078,2.231664419,1.764429688,1.837738276,0.472612202,0.314979076,0.210953459,0.210953459,0.138981372,0.138981372,0.324715972,0.07771793,0.07771793,0.996318042,0.07771793
X47,0.063712418,0.064965248,0.064965248,0.064965248,0.064965248,0.064965248,0.064965248,0.064965248,0.064965248,0.073923096,0.073923096,0.073923096,0.073923096,0.073923096,0.073923096,0.073923096,0.073923096,0.04493428,0.064559288,0.064559288,0.031791348,0.028783856,0.009158837,0.081049427
X50,9.857128143,8.637764931,7.189249992,7.402079582,6.17665863,6.097309589,5.154115677,5.48884964,5.24488306,5.249137878,5.249137878,5.152555466,5.606287003,5.402822495,6.102559566,7.121558666,8.227258682,9.809271812,10.40656853,10.343997,11.00050735,8.529625893,8.550451279,8.028889656
X51,16.54554749,16.37235641,15.5630846,14.35511971,13.40065956,10.70793343,10.17982101,9.948396683,9.80694294,9.855566025,9.863704681,10.3358736,11.6368103,14.68593597,16.61165428,16.99111176,16.60441971,19.44735718,19.66806221,18.75829315,18.12585068,20.4934082,18.42409897,18.28491592
X55,10.69507694,3.801230192,3.77743268,5.145904064,5.145904064,6.837170601,3.540733337,3.290504217,13.31080723,16.99500275,18.92269135,18.92269135,18.14512062,18.92269135,18.92269135,18.92269135,19.00545883,19.81394958,19.89810371,19.89810371,20.01713943,19.98681641,19.76108932,17.97208023
X59,1.706127048,1.741073132,1.741073132,1.317487597,1.996095538,1.740007401,1.516202569,1.755511522,6.603210449,8.504756927,9.389945984,9.389945984,9.842788696,9.383781433,9.461702347,9.461702347,9.461702347,9.461702347,9.461702347,9.461702347,9.461702347,9.333847046,6.764640808,5.376373291
X61,1.572492242,1.952704191,1.952704191,2.340361118,1.952704191,1.914883494,1.608310223,2.140510559,3.188834429,3.339817762,4.393533707,4.393533707,4.213811874,4.207228661,4.273823738,4.575825214,4.59991312,4.398497105,4.615459919,3.583364248,3.536992073,3.351392031,3.286893368,2.786328793
X62,0.266955614,0.249809265,0.249809265,0.273913383,0.279893786,0.217698932,0.193804741,0.193804741,0.214011446,0.215410575,0.219985679,0.20283933,0.198220924,0.198220924,0.198220924,0.271595418,0.191538006,0.191538006,0.181140915,0.208510011,0.241171286,0.195938766,0.19244051,0.209586859
X67,0.364571035,0.363424093,0.3283858,0.3283858,0.3283858,0.3283858,0.3283858,0.3283858,0.3283858,0.559394717,0.337552309,0.390654057,0.429716855,0.28437078,0.219413042,0.23294048,0.231336176,0.492521763,0.500787556,0.44883734,0.468409538,0.446961999,0.468409538,0.441188097
X68,2.870022774,3.71740675,3.71740675,3.71740675,3.71740675,3.71740675,3.669841051,3.739821196,5.08284235,5.193200588,5.286130905,5.265449047,5.265449047,5.170060635,5.101077557,5.103535652,5.103535652,5.101077557,5.103535652,5.103535652,4.714713573,3.906129599,4.190667152,3.906129599
X70,0.097028941,0.097028941,0.097028941,0.097028941,0.097028941,0.097028941,0.097028941,0.097028941,0.091888696,0.202684283,0.202684283,0.202684283,0.202684283,0.223748907,0.321355641,0.317198813,0.339956969,0.348583817,0.319735616,0.194230497,0.156543687,0.117077008,0.117077008,0.117077008
X73,0.068033613,0.068033613,0.068033613,0.063888744,0.068033613,0.068033613,0.068033613,0.065117083,0.071196809,0.06828028,0.169651493,0.171749741,0.167297021,0.142945111,0.121210918,0.121210918,0.107609808,0.103927717,0.09966258,0.097780198,0.097780198,0.114526473,0.123593718,0.114526473
X75,1.149228811,1.056489229,1.484703779,1.135241032,1.265553236,2.241617441,2.162865877,2.274219751,2.48607254,2.724494696,2.765708447,3.126190186,3.126190186,3.344702959,3.212957382,3.324234486,3.324234486,3.324234486,3.242317677,2.987312794,2.987312794,2.987312794,2.794130325,2.053059816
X76,0.519537926,0.879984379,0.879984379,0.879984379,0.879984379,0.879984379,0.879984379,0.879984379,0.879984379,1.267974496,1.441424251,1.49437201,1.521195531,2.067788363,2.264402866,2.14555645,2.17531538,2.264402866,2.264402866,1.722725153,1.761230946,1.706256986,1.683708429,1.295591116
X80,7.534414291,7.100673676,5.515921593,3.806133509,3.404958963,3.234463453,3.301252604,3.589102983,3.301252604,3.301252604,3.301252604,6.984304905,9.89009285,7.85559845,9.138684273,9.535974503,9.535974503,9.946755409,9.535974503,9.70338726,9.306097031,9.12819767,9.03926754,7.250225067
X82,0.307179451,0.307179451,0.307179451,0.307179451,0.307179451,0.307179451,0.307179451,0.307179451,0.339091361,0.452312618,0.452312618,0.452312618,0.466335267,0.466335267,0.466335267,0.452312618,0.474229932,0.466335267,0.461399347,0.417076826,0.381516457,0.336953372,0.336953372,0.336953372
X87,0.65161407,1.36370182,1.36370182,1.36370182,1.349310398,1.36370182,1.356537461,1.497066736,1.613619328,1.620846391,1.620846391,1.699519634,1.900208235,1.900208235,1.900208235,1.900208235,1.900208235,1.890496731,1.820408225,1.770446658,1.711977243,1.684139013,1.684139013,1.684139013
X88,0.25540024,0.25540024,0.25540024,0.25540024,0.25540024,0.25540024,0.25540024,0.273896575,0.334759384,0.334759384,0.334759384,0.334759384,0.396228701,0.461291075,0.552810192,0.552810192,0.552810192,0.552810192,0.433639556,0.381406903,0.339806616,0.323854923,0.319028407,0.319028407
X91,0.257622629,0.257622629,0.257622629,0.257622629,0.255820811,0.257354915,0.250603586,0.255820811,0.254635841,0.294094056,0.294094056,0.294094056,0.294094056,0.294094056,0.294094056,0.294094056,0.301039398,0.291864097,0.271488398,0.274772167,0.262738854,0.252093703,0.252093703,0.252093703
X94,-0.003860911,-0.003860911,-0.003860911,-0.003860911,-0.003860911,-0.003860911,-0.003860911,-0.003860911,-0.003860911,0.014550611,0.025277477,0.031851083,0.032804418,0.033584524,0.140557542,0.14347142,0.061799698,0.033584524,0.033584524,0.033584524,0.033584524,0.033584524,0.01796151,0.01796151
X102,0.331230462,0.333741069,0.333741069,0.331230462,0.329490781,0.333741069,0.329490781,0.333741069,0.390999854,0.469878733,0.469878733,0.469878733,0.469878733,0.469878733,0.541370928,0.541370928,-0.03856989,0.197217867,0.197217867,0.426655293,0.375962377,0.321202844,0.31827274,0.31827274
X105,0.191431388,0.191431388,0.191431388,0.191431388,0.191431388,0.191431388,0.191431388,0.191431388,0.240105361,0.257956415,0.250424951,0.250424951,0.23943989,0.23943989,0.23943989,0.251920432,0.234307185,0.229631588,0.172744021,0.172744021,0.172744021,0.172744021,0.172744021,0.172744021
X106,0.421986252,0.421986252,0.421986252,0.421986252,0.421986252,0.421986252,0.425526828,0.425526828,0.425042957,0.448917121,0.463501543,0.46867919,0.46867919,0.46867919,0.472571671,0.472571671,0.472571671,0.451248109,0.442595184,0.421964705,0.421964705,0.421964705,0.421964705,0.421964705
X107,-0.004211551,0.016184755,0.016184755,0.016184755,0.016184755,0.016184755,0.016184755,0.016184755,0.027119281,0.057273746,0.036877424,0.057273746,0.056310352,0.056310352,0.056310352,0.056310352,0.062612355,0.053178459,0.034569468,0.032529652,0.032529652,0.012133352,0.032529652,0.032529652
X110,0.110506833,0.267038345,0.24403508,0.244037911,0.24403508,0.291142851,0.29643774,0.309734374,0.29114002,0.314143002,0.450583041,0.560308218,0.551991403,0.450583041,0.933579743,0.925398886,0.573497653,0.605447173,0.366587818,0.287355334,0.302041531,0.287355334,0.301339597,0.636304259
X111,0.172089219,0.179799512,0.172089219,0.172089219,0.17713812,0.172089219,0.180069864,0.169094324,0.212139472,0.221970513,0.221970513,0.221970513,0.221970513,0.227897152,0.221970513,0.227897152,0.221970513,0.215361044,0.216227084,0.212054938,0.210857496,0.193231508,0.197140664,0.191214025
X116,0.190712422,0.190712422,0.190712422,0.190712422,0.190712422,0.190712422,0.190712422,0.190712422,0.193362862,0.322642863,0.302328348,0.302328348,0.302328348,0.302328348,0.310416847,0.310416847,0.310416847,0.310273081,0.253231049,0.194567442,0.166050121,0.166050121,0.197905764,0.197905764
X120,0.155973122,0.155973122,0.155973122,0.155973122,0.155973122,0.155973122,0.155973122,0.155973122,0.225638196,0.249218062,0.249218062,0.222269908,0.249218062,0.249218062,0.249218062,0.249218062,0.309786558,0.31827122,0.243563011,0.255442023,0.216582119,0.214464039,0.214464039,0.177168816
X123,0.383020461,0.383020461,0.383020461,0.383020461,0.383020461,0.383020461,0.383020461,0.24817349,0.383020461,0.383020461,0.522327125,0.423488855,0.612984776,0.612984776,0.612984776,0.584663749,0.584663749,0.612984776,0.612984776,0.584663749,0.558666706,0.424592227,0.415524602,0.307615459
X124,0.132413715,0.132413715,0.132413715,0.132413715,0.158479631,0.132413715,0.158479631,0.132413715,0.29311502,0.313830942,0.345606953,0.345606953,0.345205396,0.345606953,0.345606953,0.345606953,0.345606953,0.345606953,0.345606953,0.331037313,0.317192495,0.234770119,0.219950497,0.219950497
X125,0.159637049,0.159637049,0.159637049,0.159637049,0.159637049,0.159637049,0.159637049,0.174754262,0.300831854,0.300831854,0.300831854,0.275417149,0.275417149,0.275417149,0.275865555,0.275865555,0.275865555,0.275865555,0.275865555,0.275865555,0.228647485,0.203657821,0.194197357,0.194197357
X126,0.31256482,0.987621546,0.987621546,0.987621546,0.99115473,0.987621546,0.99115473,0.987621546,0.99115473,0.99115473,1.278057814,1.308697343,1.388769507,1.389300346,2.082583666,2.082583666,1.367298961,0.725193381,0.709939003,0.709939003,0.709939003,0.709939003,1.027481318,0.709939003
X130,0.2541278,0.256220818,0.218441337,0.238898367,0.234451324,0.238299996,0.242984816,0.253973454,0.305918276,0.322357267,0.487623811,0.487623811,0.388580024,0.350929141,0.37247622,0.330551088,0.329411924,0.399222374,0.327705592,0.327705592,0.384408891,0.450101018,0.442403495,0.438058555
X132,0.586715758,0.365347534,0.21575211,0.265243828,0.299996197,0.260420561,0.276436597,0.310771525,0.33143577,0.311844319,0.313053817,0.346847147,0.339272052,0.368009329,0.399252355,0.37666294,0.45648405,0.478297323,0.419831067,0.416182667,0.421838999,0.41639927,0.431798339,0.409377128
X133,0.210380867,0.24612999,0.200552151,0.207038686,0.205366567,0.197368681,0.265978366,0.27847293,0.331595808,0.468115419,0.446520895,0.519175828,0.506467521,0.497259647,0.476432711,0.47510609,0.468887299,0.528990269,0.567753196,0.559737206,0.529925644,0.567512095,0.588101566,0.522355676
X134,0.312405497,0.473312408,0.370486617,0.400075495,0.3717601,0.385330856,0.308935136,0.3004646,0.336093336,0.336849153,0.308938354,0.327588737,0.3550722,0.424394339,0.47587052,0.433654755,0.444715142,0.545029819,0.590922058,0.666738689,0.534588933,0.618134499,0.558489978,0.830414593
X139,0.491723835,0.50840205,0.413795441,0.424255699,0.425033927,0.433839262,0.417415202,0.419195414,0.432896703,0.461320668,0.461397409,0.501631796,0.456271619,0.452011377,0.452011377,0.427359462,0.439280987,0.499039531,0.597794533,0.613949299,0.635506332,0.669774532,0.613372505,0.453908503
X140,0.497723997,0.390621871,0.317463309,0.309736222,0.297774047,0.278824061,0.265114725,0.31281507,0.370825827,0.447741002,0.478276074,0.477138311,0.460354,0.45391205,0.489853412,0.559652209,0.634862602,0.597242951,0.670569122,0.599381506,0.539604425,0.587394655,0.629456222,0.522801578
X142,0.39348805,0.37229681,0.32352975,0.32511431,0.320893258,0.317188203,0.322514683,0.412607044,0.402093828,0.454425573,0.43270269,0.436476558,0.441968828,0.421717137,0.478135496,0.492964566,0.52673322,0.594899952,0.632173598,0.693549752,0.60386467,0.777625024,0.7941311,0.724778473
X143,0.207029596,0.20264779,0.160276189,0.171601608,0.1690837,0.220214158,0.175229415,0.227916032,0.274211764,0.285087138,0.27050966,0.267747879,0.288003564,0.271874338,0.21173203,0.281597465,0.26168108,0.265606701,0.292280644,0.304663628,0.304663628,0.304272145,0.286664903,0.239731058
X148,0.246486828,0.246014312,0.172168791,0.180658713,0.180553868,0.185827881,0.345042557,0.307475656,0.306812733,0.311942309,0.311130017,0.285980403,0.303989112,0.31750083,0.321214914,0.298252493,0.296794236,0.422881544,0.466768086,0.480107009,0.483497441,0.439875931,0.373663843,0.320585608
X149,0.27663222,0.256510913,0.243170992,0.25413394,0.244971588,0.24776718,0.258585215,0.392812341,0.364709824,0.367330283,0.401489496,0.394348204,0.433075517,0.32703349,0.302548081,0.315035313,0.301311791,0.313587844,0.343335658,0.440440923,0.45430544,0.453318417,0.426106185,0.382941455
X155,0.420175493,0.378085643,0.31174919,0.387082547,0.285090476,0.281611919,0.233856618,0.280968636,0.439418375,0.396899074,0.186570838,0.187966347,0.136170164,0.136761799,0.195771977,0.20102042,0.20102042,0.217290863,0.250638932,0.318687379,0.385458857,0.35654074,0.377425402,0.336738944
X157,0.254855335,0.24230741,0.194596738,0.212070405,0.220432892,0.222999066,0.248363301,0.252616286,0.258479834,0.266110331,0.28113699,0.285761178,0.314784199,0.31123513,0.311136901,0.308860779,0.310563117,0.365736276,0.4034639,0.405740023,0.390548259,0.387674749,0.403080165,0.349829465
X158,0.382768542,0.354791343,0.253875554,0.401611686,0.275807023,0.276727468,0.222786188,0.204341114,0.282480538,0.256722808,0.273643762,0.266458273,0.288424879,0.256443501,0.28629598,0.240476787,0.29790011,0.34452188,0.431588113,0.489607781,0.419386238,0.416230738,0.321151972,0.345162004
X160,0.238702595,0.230273813,0.1811461,0.206181839,0.189137787,0.213231519,0.205412731,0.230596572,0.313776076,0.291633576,0.233055711,0.281877249,0.231262311,0.234485894,0.238102913,0.240347236,0.236135781,0.23465094,0.236659467,0.226915628,0.249899536,0.275020808,0.273855805,0.27527827
X161,0.757067621,0.575526774,0.513352931,0.46983093,0.479222536,0.456011742,0.423619807,0.50599283,0.502421379,0.509881973,0.575182855,0.577608526,0.598170757,0.552200973,0.531769872,0.52916193,0.531535327,0.538440526,0.643161595,0.803898036,0.780121744,0.762654305,0.867623031,0.753262579
X163,0.323401332,0.26385504,0.241677374,0.273867995,0.271173984,0.313742846,0.31730333,0.297490627,0.305829734,0.283517152,0.23836787,0.226924062,0.229186207,0.205889165,0.210480481,0.211833462,0.250316143,0.209263653,0.248866856,0.277190179,0.322304368,0.358383805,0.416701138,0.379477322
X165,0.278469622,0.253451467,0.229668602,0.258353114,0.249996722,0.314402074,0.338763803,0.340751886,0.340399027,0.374457181,0.393146247,0.409114182,0.29713583,0.358480304,0.357153893,0.374869376,0.373311996,0.377574712,0.32116577,0.315391064,0.333639055,0.403319329,0.439801574,0.35197717
X166,0.531527281,0.56864351,0.307286352,0.311296225,0.303569078,0.316778213,0.337432921,0.363354951,0.413978338,0.578357041,0.628557801,0.591537893,0.556310654,0.535939574,0.535939574,0.626187921,0.629797399,0.624522448,0.684901655,0.668894291,0.679216743,0.696714997,0.682884395,0.673731565
X172,0.169406816,0.183616042,0.183404297,0.173871741,0.189759284,0.19270736,0.200696096,0.200941533,0.205785483,0.202847198,0.233584583,0.23054032,0.226516888,0.171414196,0.171414196,0.171641916,0.180465773,0.171414196,0.171414196,0.179651603,0.191494316,0.179997176,0.19577992,0.204536498
X175,0.42717427,0.46923539,0.291129768,0.431973189,0.371070802,0.289767861,0.316152602,0.397452354,0.525394976,0.677877724,0.679210126,0.461032331,0.4444682,0.424803793,0.424402356,0.424402356,0.424803793,0.515762508,0.666672111,0.762380838,0.762380838,0.762380838,0.647454023,0.5367046
X176,0.204949781,0.252627343,0.107927412,0.150247663,0.190021336,0.16688706,0.180618331,0.186406299,0.33301425,0.374851316,0.401451916,0.316992432,0.315913737,0.272141665,0.277514309,0.301404923,0.395558685,0.509651363,0.494888425,0.492713243,0.48328653,0.435821503,0.309115767,0.297990829
X177,0.418674648,0.3573066,0.231142506,0.234546289,0.225778311,0.233820513,0.292814136,0.294972479,0.346894205,0.356916785,0.349371761,0.3524988,0.301391453,0.331275314,0.328403354,0.332876623,0.300722897,0.357196003,0.453702629,0.485227317,0.551352441,0.549304724,0.576005876,0.588755071
X178,0.44123885,0.445489287,0.282198906,0.289696336,0.29499504,0.305287629,0.367761523,0.328674197,0.340110093,0.351029068,0.33442691,0.34181574,0.628458142,0.34181574,0.349098086,0.531830192,0.377370358,0.347652346,0.357427418,0.417338997,0.571530879,0.574895322,0.685361505,0.844735086
X183,0.257098645,0.247854844,0.201400697,0.198391318,0.189780593,0.191642359,0.192528769,0.211558715,0.212094277,0.225270256,0.21766609,0.178481936,0.183020383,0.179437637,0.186929166,0.186929166,0.191848934,0.19297193,0.219810694,0.226876497,0.263811946,0.243736833,0.27043125,0.273408175
X186,0.248426706,0.281060427,0.215379745,0.242456555,0.212007686,0.166354015,0.146008015,0.156032696,0.177330226,0.345181584,0.342372358,0.314069569,0.256295472,0.240325317,0.242964864,0.232683495,0.232683495,0.308374733,0.305735201,0.273076504,0.258858114,0.310138196,0.275175273,0.228221536
X187,0.279935837,0.293613046,0.195289403,0.238592148,0.201233551,0.204295248,0.250489235,0.250984848,0.334105849,0.328584731,0.316870362,0.320535183,0.340097994,0.33963874,0.354971796,0.345331758,0.357902199,0.355025202,0.378573865,0.375277162,0.356835246,0.359818757,0.356832951,0.357731134
X192,0.211044103,0.229718238,0.184194118,0.195600525,0.207406133,0.228887841,0.206690997,0.199202627,0.273783505,0.297866881,0.33558768,0.284822613,0.284822613,0.274599701,0.256522566,0.244435042,0.329603195,0.274253249,0.2370051,0.2370051,0.358896971,0.456298292,0.4400253,0.318988889
X194,0.160340503,0.169402704,0.149751395,0.16579023,0.189301327,0.169923797,0.169157445,0.221537143,0.200925171,0.242799312,0.250558943,0.248240113,0.256848752,0.247171551,0.252057284,0.246152923,0.232364357,0.259859443,0.238992229,0.216189802,0.195726767,0.245250493,0.24423562,0.229930684
X195,0.340418488,0.37805739,0.319272816,0.293231905,0.287692189,0.292796254,0.2920672,0.334549308,0.341425925,0.329730272,0.317563057,0.486647844,0.321966708,0.353238583,0.343986601,0.350158006,0.355151445,0.401595145,0.407550871,0.407550871,0.428249717,0.477647364,0.485175788,0.475195438
X196,0.456182599,0.498909861,0.367912978,0.489332169,0.463909745,0.490917981,0.488437146,0.515981913,0.516277373,0.522136688,0.541768551,0.571755409,0.602852106,0.570678174,0.569820464,0.569453061,0.609895766,0.644126475,0.678378463,0.677734196,0.650240958,0.655260682,0.653763413,0.655512094
X200,0.259663731,0.275907189,0.195658922,0.177661598,0.225788727,0.230648398,0.218067616,0.250397056,0.281324238,0.326933682,0.330412209,0.283045143,0.290840685,0.299985528,0.299985528,0.307596803,0.32467407,0.327030033,0.31698963,0.35759148,0.347019643,0.341578931,0.375096858,0.357922673
X201,0.226604179,0.27774778,0.248545676,0.241368756,0.250303388,0.241368756,0.269960135,0.284845024,0.310009807,0.385939211,0.40383482,0.386800766,0.4120287,0.363987952,0.310087889,0.410384953,0.441912264,0.569508255,0.652751803,0.650807858,0.683026314,0.683986664,0.535242021,0.371660203
X205,0.349849761,0.372742623,0.321726531,0.329820156,0.324941218,0.336907953,0.393846035,0.383496672,0.471184462,0.477252513,0.429721624,0.415560097,0.399341315,0.408523977,0.411190987,0.420975924,0.411190987,0.408469468,0.471954674,0.484183818,0.490406215,0.490406215,0.453879774,0.443113059
X206,0.372583777,0.35248968,0.321306974,0.376121968,0.318284571,0.323970675,0.329061568,0.337446153,0.363191783,0.37709564,0.443938524,0.429277509,0.402089864,0.295233041,0.266527057,0.273101658,0.277450919,0.274971843,0.284899712,0.348478824,0.385371298,0.370823085,0.469799548,0.480419099
X211,0.22807458,0.270146906,0.259149998,0.263210267,0.272674918,0.29480961,0.305125952,0.274858326,0.316625983,0.351808697,0.386388153,0.386388153,0.317972809,0.356529862,0.362573594,0.390261531,0.409087092,0.419597596,0.404822886,0.379819036,0.367373496,0.302320421,0.260067433,0.26906538
X213,0.309367269,0.319662422,0.337282747,0.316002429,0.32252121,0.31112051,0.328144401,0.326050192,0.337115079,0.326213419,0.320126593,0.317305982,0.302830756,0.322196603,0.324494988,0.329737365,0.340949148,0.380870461,0.384185731,0.362499774,0.397943825,0.391070515,0.415240824,0.387463391
X214,0.424465388,0.437919676,0.305339068,0.413105011,0.387949437,0.391107678,0.371199131,0.448518872,0.478596598,0.459845603,0.462418467,0.461374372,0.449406058,0.464755356,0.457814157,0.470460236,0.462149769,0.482983559,0.481581241,0.469612926,0.501804531,0.576820254,0.577226996,0.539699793
X215,0.517101467,0.564368963,0.487692386,0.472151607,0.462323576,0.440137684,0.40764612,0.391571999,0.404615194,0.455749661,0.582300067,0.657110274,0.674160004,0.458480895,0.528024793,0.510156691,0.508262813,0.52210784,0.507581294,0.560413361,0.559769928,0.639887869,0.840810239,0.635148942
X216,0.233629331,0.273930281,0.204199135,0.217190668,0.218729362,0.213906378,0.242645457,0.29596442,0.276906073,0.357292831,0.359857589,0.347412318,0.347283155,0.356165975,0.309277564,0.279986918,0.257545918,0.242167085,0.242167085,0.232157364,0.253466159,0.328979284,0.410351962,0.428585023
X217,0.179009706,0.18726714,0.169265613,0.182098195,0.186791465,0.185699418,0.186791465,0.188284487,0.190854162,0.186000884,0.223405048,0.235178202,0.240790427,0.234015912,0.234015912,0.234015912,0.290512234,0.308227658,0.286812752,0.291864038,0.323901623,0.310984641,0.317759126,0.310984641
X218,0.234100923,0.261162609,0.265081197,0.339063704,0.333398968,0.437659234,0.426205933,0.377193958,0.308845967,0.305858642,0.305603892,0.30446592,0.284340352,0.29810074,0.29810074,0.29810074,0.302596003,0.298844218,0.38787967,0.469335884,0.465384811,0.496091574,0.601288676,0.372231632
X219,0.145860851,0.150094122,0.136448115,0.150305748,0.1520814,0.169041336,0.160260379,0.158635899,0.159686804,0.162623316,0.159686804,0.162623316,0.171312079,0.163282782,0.160537571,0.163196892,0.1733803,0.205839932,0.231293082,0.216820493,0.214467213,0.193389729,0.185833856,0.16593875
X223,0.424843103,0.389017403,0.31972903,0.342067868,0.320381016,0.353019863,0.354261428,0.343601406,0.380491585,0.401812524,0.390841454,0.39141053,0.429811507,0.408637494,0.419580489,0.412058413,0.430768907,0.440500498,0.451561928,0.510297298,0.568482459,0.514164984,0.529247403,0.522432089
X225,0.239937365,0.243244633,0.20061484,0.226430833,0.220964342,0.219430983,0.308826923,0.380024463,0.38572979,0.375062495,0.385086358,0.385086358,0.387560993,0.388252735,0.390727371,0.395782053,0.392334938,0.431781828,0.474774182,0.474774182,0.474774182,0.481493115,0.436335802,0.379362464
